Company Name,Position,location,link,Year of Experience,Date
TEKsystems,SQL Data Analyst (Healthcare) SQL Data Analyst (Healthcare) with verification,"San Diego, CA (Hybrid)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3933002350%2F&v=1.0&sign=59235f669f617a32efdf169e7dcdc7ad,4,5/27/2024
Microsoft,Senior Research ScientistSenior Research Scientist,"Massachusetts, United States (Remote)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3932050868%2F&v=1.0&sign=c575d048c41caae6cfe9078a0095df0d,0,5/27/2024
Netflix,Data Scientist (L5) - Games Discovery and Research Data Scientist (L5) - Games Discovery and Research with verification,"Los Gatos, CA",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3934964841%2F&v=1.0&sign=8606d9b8a379ee0768e3e2f8e04aa67c,5,5/27/2024
Google,"Senior Software Engineer, Machine Learning, Google Workspace Senior Software Engineer, Machine Learning, Google Workspace with verification","New York, NY (On-site)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3932608248%2F&v=1.0&sign=4d75c57005a9bd46d4c98bd544343634,5,5/27/2024
Microsoft,Senior Research ScientistSenior Research Scientist,"Wisconsin, United States (Remote)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3932051703%2F&v=1.0&sign=e6cc1e4ef5996146ea6aa0c47c178532,0,5/27/2024
Microsoft,Senior Research ScientistSenior Research Scientist,"Rhode Island, United States (Remote)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3932050861%2F&v=1.0&sign=09ba0b5acc251a3bd2e7ca35b1c5e585,0,5/27/2024
Meta,Software Engineer (Product),"Burlingame, CA",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.metacareers.com%2Fjobs%2F1019314916205694%2F&v=1.0&sign=5322b8df14a5227c43839376845d32ad,0,5/27/2024
Dice,Data ScientistData Scientist,"Washington, DC (On-site)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3935429533%2F&v=1.0&sign=301888c0f57f23694ac801b1b57e8cdf,4,5/27/2024
Meta,"Software Engineer, Systems","Seattle, WA",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.metacareers.com%2Fjobs%2F6795425153893185%2F&v=1.0&sign=b1f9e877ea128d96571b74b90df07ba2,2,5/27/2024
Jobot,Data Scientist - TS/SCIData Scientist - TS/SCI,"Washington, DC (On-site)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3931259047%2F&v=1.0&sign=1d90b0b42736d04ea45aa7dc6a55cc76,3,5/27/2024
Meta,"Software Engineer, Machine Learning","Menlo Park, CA; Remote, US",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.metacareers.com%2Fjobs%2F965378958590433%2F&v=1.0&sign=05b1de8cadfae6914cfad749d610879e,2,5/27/2024
Meta,Research Scientist,"Seattle, WA",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.metacareers.com%2Fjobs%2F493655182988349%2F&v=1.0&sign=b78bc2436f407f007614fb000605b887,0,5/27/2024
Meta,Data Scientist,"Burlingame, CA",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.metacareers.com%2Fjobs%2F999640144497022%2F&v=1.0&sign=d2657cb5b789622daaa010c972c0b950,2,5/27/2024
Meta,"Software Engineer, Systems","New York, NY",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.metacareers.com%2Fjobs%2F315978888265571%2F&v=1.0&sign=98c6025e9bd7c38b65a29ce969312921,0,5/27/2024
Microsoft,Principal Applied Scientist,"Multiple Locations, Multiple Locations, United States",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fjobs.careers.microsoft.com%2Fglobal%2Fen%2Fjob%2F1719769%2FPrincipal-Applied-Scientist&v=1.0&sign=343a66f76775dbee47b03f134475275d,6,5/27/2024
Microsoft,Product Manager II,"Vancouver, British Columbia, Canada",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fjobs.careers.microsoft.com%2Fglobal%2Fen%2Fjob%2F1719358%2FProduct-Manager-II&v=1.0&sign=5e58d85d3e1742ca86951ec4ee6ef333,2,5/27/2024
Microsoft,Senior Software Engineer,"Pittsburgh, Pennsylvania, United States",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fjobs.careers.microsoft.com%2Fglobal%2Fen%2Fjob%2F1720161%2FSenior-Software-Engineer&v=1.0&sign=26bd4d93f0bb174df06b0d0e94af2663,4,5/27/2024
JPMorgan Chase & Co.,Software Engineer,"Houston, TX, United States",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fjpmc.fa.oraclecloud.com%2FhcmUI%2FCandidateExperience%2Fen%2Fsites%2FCX_1001%2Fjob%2F210520816&v=1.0&sign=cd1ba9d33c050755fdab359c94993547,5,5/27/2024
HubSpot,Software Engineer (USA),Remote - USA,https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.hubspot.com%2Fcareers%2Fjobs%2F5335674&v=1.0&sign=b7338b1b614508ae54e7ca40975ec55d,2,5/27/2024
HubSpot,Software Engineer (USA),"Cambridge, MA, USA",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.hubspot.com%2Fcareers%2Fjobs%2F5331999&v=1.0&sign=29ba42dd6790cb4b6f29811065e7092b,2,5/27/2024
JPMorgan Chase & Co.,Software Engineer III - Front-End UI Developer,"Plano, TX, United States; Jersey City, NJ, United States",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fjpmc.fa.oraclecloud.com%2FhcmUI%2FCandidateExperience%2Fen%2Fsites%2FCX_1001%2Fjob%2F210517902&v=1.0&sign=a385f7afcc1f1f724cf10589cd34ccba,3,5/27/2024
JPMorgan Chase & Co.,Software Engineer III,"Jersey City, NJ, United States",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fjpmc.fa.oraclecloud.com%2FhcmUI%2FCandidateExperience%2Fen%2Fsites%2FCX_1001%2Fjob%2F210516879&v=1.0&sign=c5218521d22fa09b6016c85c2a243b5d,3,5/27/2024
